Date,Bid Price,Last Price,Ask Price,spread,Adjusted Duration
11/11/2024,109.575,109.674,109.772,327.2728,-6.90E-05
11/07/2024,109.357,109.445,109.533,335.3465,0.000259159
11/06/2024,109.126,109.191,109.256,350.2749,0.000155824
11/04/2024,107.365,107.464,107.563,361.4041,0.001443994
11/01/2024,107.609,107.71,107.811,385.6108,-9.44E-05
10/10/2024,107.838,107.89,107.942,350.0774,4.70E-05
10/09/2024,107.953,108.004,108.054,356.585,-0.000162198
10/07/2024,107.651,107.704,107.757,346.2627,-0.000269844
10/04/2024,107.855,107.909,107.962,360.3271,-0.000135075
10/01/2024,107.619,107.676,107.734,386.2959,8.33E-05
09/10/2024,107.161,107.217,107.273,350.8566,-0.000120799
09/09/2024,107.46,107.515,107.57,352.7142,-0.00149209
09/05/2024,107.633,107.678,107.724,345.0135,0.000196576
09/04/2024,107.577,107.629,107.68,349.8504,9.41E-05
09/02/2024,108.396,108.45,108.504,374.5503,-0.000306491
08/08/2024,106.129,106.192,106.255,367.1923,-0.00288983
08/07/2024,105.386,105.456,105.526,348.1032,-0.000365613
08/05/2024,105.019,105.088,105.158,349.5394,0.002438259
08/02/2024,105.866,105.922,105.979,382.0166,-0.000242438
08/01/2024,107.089,107.16,107.23,401.6793,-0.00058755
07/11/2024,108.567,108.611,108.655,330.9846,0.000188976
07/10/2024,108.388,108.429,108.471,356.8354,6.49E-05
07/08/2024,108.325,108.374,108.423,387.6708,1.65E-05
07/05/2024,108.081,108.147,108.214,350.8488,-5.70E-05
07/03/2024,108.063,108.119,108.176,360.0974,2.80E-05
07/02/2024,107.811,107.868,107.926,380.9063,0.000111823
06/11/2024,107.755,107.806,107.858,330.4984,-1.14E-05
06/06/2024,107.907,107.959,108.012,348.7684,-7.76E-05
06/05/2024,108.009,108.053,108.098,350.3435,-0.00055231
06/03/2024,107.973,108.023,108.072,362.0336,2.38E-05
05/09/2024,107.891,107.933,107.975,352.0621,-8.36E-05
05/08/2024,107.83,107.88,107.929,390.9314,1.26E-05
05/07/2024,107.915,107.955,107.995,351.1747,1.75E-05
05/06/2024,107.946,107.988,108.03,346.0327,5.94E-05
05/03/2024,107.656,107.697,107.738,365.5673,0.00013832
05/02/2024,107.215,107.274,107.334,382.9094,0.000227376
05/01/2024,106.752,106.815,106.879,403.0231,0.000213643
