Week_Start,RF
2022-05-18,0.001
2022-05-25,0.001
2022-06-01,0.003
2022-06-08,0.003
2022-06-15,0.003
2022-06-22,0.003
2022-06-29,0.0035
2022-07-06,0.004
2022-07-13,0.004
2022-07-20,0.004
2022-07-27,0.0056
2022-08-03,0.008
2022-08-10,0.008
2022-08-17,0.008
2022-08-24,0.008
2022-08-31,0.008749999999999999
2022-09-07,0.009
2022-09-14,0.009
2022-09-21,0.009
2022-09-28,0.0098
2022-10-05,0.011
2022-10-12,0.011
2022-10-19,0.011
2022-10-26,0.0116
2022-11-02,0.014000000000000002
2022-11-09,0.014000000000000002
2022-11-16,0.014000000000000002
2022-11-23,0.014
2022-11-30,0.0156
2022-12-07,0.016
2022-12-14,0.016
2022-12-21,0.016
2022-12-28,0.01625
2023-01-04,0.017
2023-01-11,0.017
2023-01-18,0.017
2023-01-25,0.017
2023-02-01,0.018
2023-02-08,0.018
2023-02-15,0.018
2023-02-22,0.018
2023-03-01,0.016
2023-03-08,0.016
2023-03-15,0.016
2023-03-22,0.016
2023-03-29,0.0168
2023-04-05,0.018
2023-04-12,0.018
2023-04-19,0.018
2023-04-26,0.0172
2023-05-03,0.016
2023-05-10,0.016
2023-05-17,0.016
2023-05-24,0.016
2023-05-31,0.0184
2023-06-07,0.019
2023-06-14,0.019
2023-06-21,0.019
2023-06-28,0.01975
2023-07-05,0.022
2023-07-12,0.022
2023-07-19,0.022
2023-07-26,0.0216
2023-08-02,0.02
2023-08-09,0.02
2023-08-16,0.02
2023-08-23,0.02
2023-08-30,0.0205
2023-09-06,0.021
2023-09-13,0.021
2023-09-20,0.021
2023-09-27,0.021
2023-10-04,0.021
2023-10-11,0.021
2023-10-18,0.021
2023-10-25,0.021
2023-11-01,0.021
2023-11-08,0.021
2023-11-15,0.021
2023-11-22,0.021
2023-11-29,0.021
2023-12-06,0.021
2023-12-13,0.021
2023-12-20,0.021
2023-12-27,0.02125
2024-01-03,0.022
2024-01-10,0.022
2024-01-17,0.022
2024-01-24,0.022
2024-01-31,0.021200000000000004
2024-02-07,0.021
2024-02-14,0.021
2024-02-21,0.021
2024-02-28,0.021
2024-03-06,0.021
2024-03-13,0.021
2024-03-20,0.021
2024-03-27,0.021
2024-04-03,0.021
2024-04-10,0.021
2024-04-17,0.021
2024-04-24,0.021
2024-05-01,0.02
2024-05-08,0.02
2024-05-15,0.02
2024-05-22,0.02
2024-05-29,0.0208
2024-06-05,0.022
2024-06-12,0.022
2024-06-19,0.022
2024-06-26,0.0216
2024-07-03,0.021
2024-07-10,0.021
2024-07-17,0.021
2024-07-24,0.021
2024-07-31,0.0218
2024-08-07,0.022
2024-08-14,0.022
2024-08-21,0.022
2024-08-28,0.0215
2024-09-04,0.02
2024-09-11,0.02
2024-09-18,0.02
2024-09-25,0.02
2024-09-25,0.021153035520161387
2024-10-02,0.021184679043893234
2024-10-09,0.021219595422017498
2024-10-16,0.021257915446424108
2024-10-23,0.021299769909003077
2024-10-30,0.02134528960164435
2024-11-06,0.021394605316237922
2024-11-13,0.021447847844673726
